#SYM,AVAILABLE,REBATERATE,FEERATE
CHAG,500,5.0700,0.2500
CHAI,100,-0.7232,6.0432
CHALF,15000,5.0700,0.2500
CHAT,100000,-10.0448,15.3648
CHAU,550000,2.9270,2.3930
CHB,10000,-0.5765,5.8965
CHBH,4000,-1.7558,7.0758
CHBO,600000,5.0700,0.2500
CHBT,35000,-5.7754,11.0954
CHCC,250000,5.0700,0.2500
CHCI,60000,-1.1178,6.4378
CHCJY,4000,5.0700,0.2500
CHCLY,100,5.0700,0.2500
CHCO,80000,4.9320,0.3880
CHCT,300000,4.7609,0.5591
CHCX,900,5.0700,0.2500
CHD,2500000,4.9119,0.4081
CHDA,25000,5.0700,0.2500
CHDN,250000,5.0511,0.2689
CHDRY,90,-11.3909,16.7109
CHE,100000,5.0700,0.2500
CHEA,100000,-32.2352,37.5552
CHEAU,600,4.1000,1.2200
CHEF,100000,5.0700,0.2500
CHEK,250000,-12.2966,17.6166
CHELF,3300000,-17.1753,22.4953
CHFFY,1000,4.5655,0.7545
CHFI,150000,5.0700,0.2500
CHFR,1000,5.0700,0.2500
CHGCY,150000,-0.0353,5.3553
CHGG,1300000,4.9119,0.4081
CHGI,100000,5.0700,0.2500
CHGS,200000,0.1927,5.1273
CHGT,200000,5.0700,0.2500
CHGX,200000,2.6407,2.6793
CHH,20000,4.7278,0.5922
CHHCF,12,5.0700,0.2500
CHHE,30000,5.0700,0.2500
CHHL,40000,5.0700,0.2500
CHI,150000,-6.6923,12.0123
CHIC,10000,-5.9892,11.3092
CHIE,15000,-0.4412,5.7612
CHIF,25000,-1.7558,7.0758
CHIH,55000,-6.0000,11.3200
CHII,2000,-6.0000,11.3200
CHIK,6000,-6.8010,12.1210
CHIM,2000,4.5763,0.7437
CHIQ,400000,2.9489,2.3711
CHIR,45000,-1.5654,6.8854
CHIS,30000,4.5763,0.7437
CHIT,9200000,5.0700,0.2500
CHIU,4000,-16.0025,21.3225
CHIX,100000,-1.2097,6.5297
CHJI,90000,5.0700,0.2500
CHK,450000,4.9282,0.3918
CHKKF,700000,-12.4274,17.7474
CHKP,1100000,5.0700,0.2500
CHKR,200000,-77.7205,83.0405
CHLE,100000,5.0700,0.2500
CHLO,500000,5.0700,0.2500
CHLSY,300,5.0700,0.2500
CHMD,10000,5.0700,0.2500
CHME,150000,5.0700,0.2500
CHMG,10000,3.8212,1.4988
CHMI,1600000,3.2718,2.0482
CHMJF,600000,4.3171,1.0029
CHMN,1000,5.0700,0.2500
CHMO,15000,5.0700,0.2500
CHMR,65000,5.0700,0.2500
CHN,400000,-1.8547,7.1747
CHNGQ,30000,5.0700,0.2500
CHNL,4000,5.0700,0.2500
CHNR,30000,-0.7581,6.0781
CHNUF,50000,-3.9382,9.2582
CHNXF,90000,5.0700,0.2500
CHOOF,4500000,2.2840,3.0360
CHOR,300,5.0700,0.2500
CHPGF,6000,-2.2430,7.5630
CHPS,2000,-8.9553,14.2753
CHPT,1600000,1.4268,3.8932
CHR,400000,-34.5126,39.8326
CHRB,10000,-8.9005,14.2205
CHRD,350000,5.0700,0.2500
CHRI,2800000,5.0700,0.2500
CHRN,1000,5.0700,0.2500
CHRRF,95000,3.2227,2.0973
CHRS,3300000,4.7182,0.6018
CHRW,1000000,5.0700,0.2500
CHRYY,10000,-26.2865,31.6065
CHSCL,30000,-6.3590,11.6790
CHSCM,25000,-2.6142,7.9342
CHSCN,20000,-6.5881,11.9081
CHSCO,20000,-8.4248,13.7448
CHSCP,1000,-11.4047,16.7247
CHSH,6100000,5.0700,0.2500
CHSN,90000,-197.3840,202.7040
CHT,200000,4.9866,0.3334
CHTR,400000,5.0430,0.2770
CHUC,1000000,-2.4053,7.7253
CHUM,550000,5.0700,0.2500
CHUY,200000,4.9528,0.3672
CHVC,100000,5.0700,0.2500
CHVKY,100,5.0700,0.2500
CHW,200000,-0.8683,6.1883
CHWD,45000,5.0700,0.2500
CHWE,3000,5.0700,0.2500
CHWG,250000,5.0700,0.2500
CHWM,150000,5.0700,0.2500
CHWY,2100000,4.8988,0.4212
CHX,1400000,5.0627,0.2573
CHXMF,250000,-58.9700,64.2900
CHY,150000,-10.1661,15.4861
CHYHY,10000,-0.5657,5.8857
CHYL,10000,5.0700,0.2500
CHYPF,3000,5.0700,0.2500
CHYYY,250000,NA,NA
CI,3200000,4.9824,0.3376
CIA,2000,0.6582,4.6618
CIADY,10000,-27.7711,33.0911
CIB,700000,4.9119,0.4081
CIBEY,35000,-6.5458,11.8658
CIBG,300000,5.0700,0.2500
CIBH,3000,5.0700,0.2500
CIBR,600000,4.5631,0.7569
CICC,1000,5.0700,0.2500
CICHY,65000,-1.6509,6.9709
CICN,400,5.0700,0.2500
CICOY,800,-11.5306,16.8506
CID,7000,2.6710,2.6490
CIEIQ,100000,-40.0310,45.3510
CIEN,2100000,5.0700,0.2500
CIF,50000,-2.3245,7.6445
CIFHY,400,5.0700,0.2500
CIFR,400000,-0.0107,5.3307
CIG,6800000,4.6218,0.6982
CIG.C,70000,-117.0729,122.3929
CIGI,400000,5.0447,0.2753
CIGIQ,25000,5.0700,0.2500
CIHD,65000,5.0700,0.2500
CIHKY,20000,-7.1622,12.4822
CII,65000,-12.8270,18.1470
CIIHY,1000,5.0700,0.2500
CIIT,40000,5.0700,0.2500
CIK,200000,-3.6008,8.9208
CIL,20000,1.0473,4.2727
CILE,60000,5.0700,0.2500
CIM,4300000,4.1924,1.1276
CINF,1700000,4.9119,0.4081
CING,30000,-458.1704,463.4904
CINT,60000,4.9080,0.4120
CIO,550000,3.7536,1.5664
CION,850000,-2.2436,7.5636
CIOXY,400000,-6.0000,11.3200
CIPI,30000,0.8552,4.4648
CIRX,50000,5.0700,0.2500
CISO,1800000,-4.9066,10.2266
CISS,800000,-26.9745,32.2945
CITE,150000,4.1000,1.2200
CITEU,2000,1.3179,4.0021
CITZ,1000,5.0700,0.2500
CIVB,100000,4.5113,0.8087
CIVI,250000,5.0700,0.2500
CIVX,10000000,5.0700,0.2500
CIWT,1000,5.0700,0.2500
CIWV,100,-1.7558,7.0758
CIX,15000,1.9535,3.3665
CIXXF,300000,4.5445,0.7755
CIZ,3000,5.0700,0.2500
CIZN,45000,1.6466,3.6734
CJET,350000,-85.3020,90.6220
CJEWY,900,5.0700,0.2500
CJJD,800000,-15.7292,21.0492
CJPRY,400000,-4.3593,9.6793
CJREF,100000,3.8534,1.4666
CKEFF,8000,-1.7370,7.0570
CKEI,700000,5.0700,0.2500
CKGT,450000,5.0700,0.2500
CKHGY,1000,5.0700,0.2500
CKHUY,550000,-3.0288,8.3488
CKISY,1000,5.0700,0.2500
CKMY,40000,5.0700,0.2500
CKNTF,45000,3.8295,1.4905
CKPT,1400000,-43.1503,48.4703
CKRU,10000,5.0700,0.2500
CKX,45000,2.1298,3.1902
CKYS,10000000,5.0700,0.2500
CL,7700000,5.0700,0.2500
CLABF,100000,-24.5538,29.8738
CLAR,350000,4.7336,0.5864
CLB,100000,5.0046,0.3154
CLBEY,100,-0.5765,5.8965
CLBK,95000,4.8523,0.4677
CLBN,200000,5.0700,0.2500
CLBR,250000,-51.4552,56.7752
CLBT,1100000,-0.3583,5.6783
CLCFF,100000,-7.0819,12.4019
CLCL,1500000,5.0700,0.2500
CLCO,750000,-16.8278,22.1478
CLCS,35000,5.0700,0.2500
CLDL,1000,-0.9825,6.3025
CLDT,1200000,4.3390,0.9810
CLDX,90000,4.9247,0.3953
CLEU,20000,-81.1768,86.4968
CLEV,30000,5.0700,0.2500
CLF,8900000,4.9028,0.4172
CLFD,55000,4.8213,0.4987
CLFZF,10000,5.0700,0.2500
CLGCF,250000,-2.1455,7.4655
CLGN,400000,-8.9206,14.2406
CLH,250000,4.9322,0.3878
CLHI,80000,5.0700,0.2500
CLIA,800,-0.5765,5.8965
CLIP,1800000,1.1846,4.1354
CLIR,750000,3.0508,2.2692
CLIS,700000,5.0700,0.2500
CLIX,35000,-12.4843,17.8043
CLKTF,400000,5.0700,0.2500
CLKZ,15000,5.0700,0.2500
CLLNY,450000,2.3831,2.9369
CLLS,2000000,-16.5467,21.8667
CLLXF,65000,-14.3304,19.6504
CLM,4800000,1.0279,4.2921
CLMB,60000,4.7202,0.5998
CLMT,6800000,-0.2375,5.5575
CLNE,1100000,4.9119,0.4081
CLNFF,400,NA,NA
CLNN,1200000,-29.0172,34.3372
CLNO,1100000,5.0700,0.2500
CLNV,7900000,-6.9390,12.2590
CLOA,25000,-2.9897,8.3097
CLOD,400,-56.4618,61.7818
CLOE,100000,3.6183,1.7017
CLOI,5000,3.5788,1.7412
CLOQ,150000,4.4146,0.9054
CLOU,100000,3.8204,1.4996
CLOV,10000000,5.0333,0.2867
CLOW,85000,-3.0549,8.3749
CLOZ,80000,-2.7416,8.0616
CLPBY,20000,-14.5224,19.8424
CLPHY,800000,-1.5207,6.8407
CLPR,750000,4.8805,0.4395
CLPS,350000,-7.8778,13.1978
CLPT,1200000,4.3166,1.0034
CLPXY,1000,-11.4018,16.7218
CLRB,1300000,-2.6793,7.9993
CLRC,15000,-14.3787,19.6987
CLRCU,100,4.1000,1.2200
CLRD,30000,1.1020,4.2180
CLRH,4800000,5.0700,0.2500
CLRI,100000,5.0700,0.2500
CLRMF,550000,-3.5420,8.8620
CLRO,350000,-10.3192,15.6392
CLRYF,650000,5.0700,0.2500
CLS,750000,4.8614,0.4586
CLSD,1400000,4.7418,0.5782
CLSE,15000,-24.9198,30.2398
CLSH,850000,1.1670,4.1530
CLSK,7300000,4.9470,0.3730
CLSM,30000,-0.5765,5.8965
CLST,40000,1.0033,4.3167
CLST1,200000,5.0700,0.2500
CLTH,95000,5.0700,0.2500
CLTS,1600000,5.0700,0.2500
CLVLY,20000,-3.3477,8.6677
CLVR,100000,-42.9301,48.2501
CLVT,850000,4.9094,0.4106
CLW,150000,4.4301,0.8899
CLWT,150000,-5.7185,11.0385
CLWY,25000,5.0700,0.2500
CLX,1100000,5.0700,0.2500
CLXM,1500000,5.0700,0.2500
CLXS,30000,5.0700,0.2500
CLYV,250000,5.0700,0.2500
CLYW,15000,5.0700,0.2500
CLZNY,500,-7.8836,13.2036
CM,100000,5.0700,0.2500
CMA,1100000,4.9119,0.4081
CMAKY,200,5.0700,0.2500
CMAUF,100,NA,NA
CMAX,10000,-4.0366,9.3566
CMBM,200000,4.8889,0.4311
CMBS,10000,-1.6591,6.9791
CMC,900000,5.0396,0.2804
CMCA,95000,-69.7796,75.0996
CMCAU,600,4.1000,1.2200
CMCI,300,-8.5601,13.8801
CMCL,250000,-0.7212,6.0412
CMCM,1000000,-11.4039,16.7239
CMCO,350000,3.6092,1.7108
CMCSA,10000000,4.9119,0.4081
CMCT,500000,-2.1729,7.4929
CMCXF,1300000,-1.7558,7.0758
CMCZ,95000,5.0700,0.2500
CMDA,1900000,5.0700,0.2500
CMDJ,550000,5.0700,0.2500
CMDT,6800000,-1.3790,6.6990
CMDY,45000,-5.0419,10.3619
CME,3300000,4.9788,0.3412
CMEDQ,300,5.0693,0.2507
CMER,100,-3.7044,9.0244
CMEY,200000,5.0700,0.2500
CMF,50000,0.8390,4.4810
CMFO,800000,-25.9317,31.2517
CMFV,150000,5.0700,0.2500
CMG,200000,5.0700,0.2500
CMGHY,400,5.0700,0.2500
CMGMY,800,5.0700,0.2500
CMGO,4600000,5.0700,0.2500
CMGR,20000,5.0700,0.2500
CMHHY,300,5.0700,0.2500
CMHZ,10000,5.0700,0.2500
CMI,200000,4.9119,0.4081
CMIM,900,5.0700,0.2500
CMIT,300000,5.0700,0.2500
CMKM,250000,5.0700,0.2500
CMKT,45000,5.0700,0.2500
CMLS,650000,4.3290,0.9910
CMMB,500000,-5.9892,11.3092
CMND,65000,-231.9321,237.2521
CMNR,100000,NA,NA
CMOT,3000,5.0700,0.2500
CMP,100000,4.9119,0.4081
CMPD,25000,2.6006,2.7194
CMPGY,850000,-8.7591,14.0791
CMPO,70000,3.1474,2.1726
CMPR,150000,4.9149,0.4051
CMPS,700000,-8.6236,13.9436
CMPX,600000,4.5582,0.7618
CMPY,1000,5.0700,0.2500
CMRA,400000,-149.4230,154.7430
CMRB,10000,5.0700,0.2500
CMRE,1500000,4.8726,0.4474
CMRX,4800000,4.8361,0.4839
CMRZF,8000,-8.5757,13.8957
CMS,3000000,5.0483,0.2717
CMSA,2000,-10.9494,16.2694
CMSD,1000,-3.9298,9.2498
CMSQY,300,-0.9876,6.3076
CMST,100,5.0700,0.2500
CMT,100000,4.9063,0.4137
CMTG,40000,4.9114,0.4086
CMTL,350000,3.5731,1.7469
CMTNF,100000,-1.7558,7.0758
CMTOY,4000,3.9886,1.3314
CMU,200000,-8.8075,14.1275
CMUV,20000,5.0700,0.2500
CMWAY,9000,-17.5178,22.8378
CMXC,100000,5.0700,0.2500
CN,15000,5.0700,0.2500
CNA,250000,5.0700,0.2500
CNAF,50000,-13.1093,18.4293
CNAG,2100000,5.0700,0.2500
CNBA,100,5.0700,0.2500
CNBB,100,5.0700,0.2500
CNBI,100000,5.0700,0.2500
CNBP,500,5.0700,0.2500
CNBS,150000,-3.1475,8.4675
CNBW,500,5.0700,0.2500
CNBX,200000,-1.1063,6.4263
CNC,4600000,4.9119,0.4081
CNCK,20000,5.0700,0.2500
CNCM,10000000,5.0700,0.2500
CNCOF,450000,-40.5208,45.8408
CNCR,20000,4.6924,0.6276
CNCT,45000,5.0700,0.2500
CNDA,450000,2.7993,2.5207
CNDB,150000,-0.8472,6.1672
CNDD,250000,5.0700,0.2500
CNDT,3300000,4.9076,0.4124
CNEP,100000,1.1014,4.2186
CNER,100000,-14.7461,20.0661
CNET,150000,-6.5273,11.8473
CNEX,10000000,5.0700,0.2500
CNEY,20000,-19.0581,24.3781
CNF,3400000,-4.8157,10.1357
CNFN,150000,5.0700,0.2500
CNFR,35000,-43.0115,48.3315
CNFRZ,2000,-9.3451,14.6651
CNGA,15000,5.0700,0.2500
CNGI,8000,5.0700,0.2500
CNGKY,700,5.0700,0.2500
CNGL,90000,-1.9538,7.2738
CNGLU,4000,4.1000,1.2200
CNGT,1600000,5.0700,0.2500
CNHC,1000,5.0700,0.2500
CNHI,10000000,4.9069,0.4131
CNI,500000,5.0700,0.2500
CNK,1000000,4.8929,0.4271
CNLG,150000,5.0700,0.2500
CNLHN,200,5.0700,0.2500
CNLHO,200,5.0700,0.2500
CNLK,1000,5.0700,0.2500
CNLMF,1000,-4.3539,9.6739
CNLPM,100,5.0700,0.2500
CNLTL,200,5.0700,0.2500
CNLTN,4000,5.0700,0.2500
CNLTP,100,-8.5757,13.8957
CNM,1800000,5.0506,0.2694
CNMD,250000,5.0700,0.2500
CNMXF,10000,5.0700,0.2500
CNNA,4100000,5.0700,0.2500
CNNC,400000,5.0700,0.2500
CNNE,500000,4.9119,0.4081
CNNN,7000,5.0700,0.2500
CNNXF,250000,5.0700,0.2500
CNO,900000,4.8439,0.4761
CNOA,550000,5.0700,0.2500
CNOB,450000,4.9116,0.4084
CNOBP,35000,-35.9350,41.2550
CNONF,3000,5.0700,0.2500
CNOZ,1300000,5.0700,0.2500
CNP,5500000,4.9119,0.4081
CNPOF,1500000,-19.8638,25.1838
CNPWM,100,-8.1330,13.4530
CNPWP,100,5.0700,0.2500
CNQ,1000000,5.0700,0.2500
CNRCF,70000,-2.8278,8.1478
CNRD,40000,4.4146,0.9054
CNRG,30000,-0.7671,6.0871
CNRSF,1000,-5.8556,11.1756
CNS,450000,4.9987,0.3213
CNSL,1000000,4.6087,0.7113
CNSP,200000,-53.5394,58.8594
CNSWF,100,4.7934,0.5266
CNTA,1100000,3.9297,1.3903
CNTB,350000,-105.7636,111.0836
CNTG,50000,-126.5553,131.8753
CNTHO,100,-7.8411,13.1611
CNTHP,2000,-6.8687,12.1887
CNTO,100000,5.0700,0.2500
CNTRF,70000,3.1155,2.2045
CNTTQ,150000,-39.8395,45.1595
CNTX,450000,-5.0669,10.3869
CNTY,1300000,4.8716,0.4484
CNVP,1000,5.0700,0.2500
CNVS,250000,0.9896,4.3304
CNVT,65000,5.0700,0.2500
CNVVY,2000,5.0700,0.2500
CNWD,35000,5.0700,0.2500
CNWHF,50000,5.0700,0.2500
CNWT,65000,5.0700,0.2500
CNX,1400000,5.0688,0.2512
CNXA,700000,-102.2775,107.5975
CNXC,150000,5.0700,0.2500
CNXN,100000,5.0435,0.2765
CNXS,10000000,5.0700,0.2500
CNXT,15000,-6.0000,11.3200
CNYA,35000,0.9099,4.4101
COAL,1000,-51.4552,56.7752
COCBF,80000,5.0700,0.2500
COCM,900,5.0700,0.2500
COCO,200000,4.7359,0.5841
COCP,100000,0.5018,4.8182
CODA,100000,2.7657,2.5543
CODI,200000,4.8796,0.4404
CODX,700000,4.8977,0.4223
CODYY,25000,1.7238,3.5962
COE,800000,2.6710,2.6490
COEP,1300000,-117.8734,123.1934
COF,4700000,4.9119,0.4081
COFE,45000,5.0700,0.2500
COFS,15000,2.4660,2.8540
COGNY,30000,-43.4716,48.7916
COGR,4000,5.0700,0.2500
COGT,300000,3.8883,1.4317
COHG,25000,5.0700,0.2500
COHN,40000,-41.6939,47.0139
COHO,4200000,5.0700,0.2500
COHR,2800000,5.0653,0.2547
COHU,600000,4.9330,0.3870
COIB,100000,2.7908,2.5292
COIHY,15000,-22.9772,28.2972
COIN,3500000,5.0671,0.2529
COKE,35000,4.9119,0.4081
COLB,2500000,4.9209,0.3991
COLCF,5000,5.0700,0.2500
COLD,2300000,4.9119,0.4081
COLL,100000,4.9610,0.3590
COLM,45000,5.0665,0.2535
COM,90000,0.5060,4.8140
COMB,45000,-3.9594,9.2794
COMCF,75000,3.3364,1.9836
COMM,1800000,4.9359,0.3841
COMP,3700000,4.8831,0.4369
COMS,35000,-29.9969,35.3169
COMSP,4000,-13.2717,18.5917
COMT,300000,3.4732,1.8468
CONL,60000,-13.5076,18.8276
CONN,900000,4.7748,0.5452
CONX,35000,-12.4843,17.8043
CONXU,5000,4.1000,1.2200
CONY,300000,-11.5944,16.9144
COO,400000,4.9119,0.4081
COOK,250000,4.7008,0.6192
COOL,30000,-4.3545,9.6745
COOLU,1000,-6.5304,11.8504
COOP,650000,4.9119,0.4081
COP,9900000,5.0418,0.2782
COPAF,200000,-77.2511,82.5711
COPJ,7000,-9.7780,15.0980
COPX,350000,-2.0879,7.4079
COR,1500000,5.0700,0.2500
CORBF,300000,-1.7920,7.1120
CORG,1000,5.0700,0.2500
CORN,100000,-1.7132,7.0332
CORP,85000,-12.4843,17.8043
CORR,650000,0.3259,4.9941
CORRL,500000,-127.5057,132.8257
CORT,400000,5.0592,0.2608
CORX,15000,5.0700,0.2500
CORZ,1400000,-3.0370,8.3570
COSAF,9000,-20.5918,25.9118
COSM,150000,-14.7042,20.0242
COSO,50000,5.0700,0.2500
COST,3800000,4.9119,0.4081
COTY,1900000,5.0700,0.2500
COUR,1400000,5.0700,0.2500
COUV,1200000,5.0700,0.2500
COVTY,15000,-33.0311,38.3511
COWI,10000000,5.0700,0.2500
COWPP,8000,5.0700,0.2500
COWZ,1000000,3.9302,1.3898
COYA,200000,-54.8206,60.1406
COYNQ,150000,-8.0561,13.3761
COYR,1500000,5.0700,0.2500
CP,1900000,5.0676,0.2524
CPA,250000,4.9119,0.4081
CPAC,25000,-13.9949,19.3149
CPAI,400,-72.4291,77.7491
CPB,1600000,5.0261,0.2939
CPBI,95000,-3.0913,8.4113
CPBRQ,35000,5.0700,0.2500
CPBXQ,100,5.0700,0.2500
CPCAY,30000,-0.5765,5.8965
CPCPF,10000,3.1285,2.1915
CPDU,35000,5.0700,0.2500
CPDV,4000,5.0700,0.2500
CPE,650000,5.0564,0.2636
CPER,100000,-4.2300,9.5500
CPF,150000,4.8242,0.4958
CPG,1900000,4.5007,0.8193
CPGU,200,5.0700,0.2500
CPHC,800,3.0063,2.3137
CPHG,800000,5.0700,0.2500
CPHI,500000,-12.1345,17.4545
CPHRF,15000,-5.6529,10.9729
CPICQ,2000,-5.0034,10.3234
CPIX,100000,-0.5765,5.8965
CPK,150000,4.9119,0.4081
CPKF,7000,4.7393,0.5807
CPLP,300000,-13.5586,18.8786
CPLS,7000,NA,NA
CPMCF,150000,5.0700,0.2500
CPMD,150000,5.0700,0.2500
CPMV,8000,5.0700,0.2500
CPNFF,15000,-2.7301,8.0501
CPNG,10000000,5.0700,0.2500
CPOP,15000,-5.6663,10.9863
CPPCY,400,5.0700,0.2500
CPPD,55000,2.1413,3.1787
CPPKF,250000,-30.8216,36.1416
CPPMF,350000,-17.2371,22.5571
CPPTL,200000,4.8361,0.4839
CPQQ,100000,5.0700,0.2500
CPRI,1700000,3.9500,1.3700
CPRT,9200000,5.0700,0.2500
CPRX,1300000,5.0451,0.2749
CPS,250000,4.8527,0.4673
CPSH,300000,4.6079,0.7121
CPSI,100000,4.8656,0.4544
CPSS,15000,4.0452,1.2748
CPT,1400000,4.9119,0.4081
CPTK,1000,-6.6999,12.0199
CPTN,10000,-11.1787,16.4987
CPTP,600,5.0700,0.2500
CPTRF,25000,5.0700,0.2500
CPUT,45000,5.0700,0.2500
CPWR,500000,5.0700,0.2500
CPWY,100000,5.0700,0.2500
CPXP,4800000,5.0700,0.2500
CPYE,400000,5.0700,0.2500
CPYJ,400000,5.0700,0.2500
CPYYY,8000,0.4158,4.9042
CPZ,20000,3.0160,2.3040
CQP,150000,-10.5202,15.8402
CQPT,1200000,5.0700,0.2500
CQQQ,350000,4.8061,0.5139
CQRLF,100000,5.0700,0.2500
CR,200000,5.0552,0.2648
CRAI,95000,4.8789,0.4411
CRAK,20000,-7.0717,12.3917
CRARY,200000,-23.5815,28.9015
CRAWA,10000,-11.6865,17.0065
CRBBF,200,4.8361,0.4839
CRBG,1400000,4.7427,0.5773
CRBN,10000,-1.9363,7.2563
CRBO,1000,5.0700,0.2500
CRBP,250000,-80.7719,86.0919
CRBU,700000,5.0027,0.3173
CRC,700000,5.0688,0.2512
CRCCY,300,NA,NA
CRCL,2000000,5.0700,0.2500
CRCS,9000,5.0700,0.2500
CRCT,70000,-0.2518,5.5718
CRCUF,500000,3.9599,1.3601
CRD.A,350000,4.8591,0.4609
CRD.B,100000,1.8071,3.5129
CRDF,600000,4.4182,0.9018
CRDL,800000,-22.3844,27.7044
CRDO,1300000,4.9223,0.3977
CRDOF,100000,-14.8467,20.1667
CRDT,200000,-4.5007,9.8207
CRDV,6000,5.0700,0.2500
CRECF,150000,-3.7965,9.1165
CRED,8000,-9.5074,14.8274
CREG,35000,-7.2070,12.5270
CRESY,4000000,-2.6918,8.0118
CREV,2000,-477.2061,482.5261
CREX,300000,-12.4843,17.8043
CRF,900000,1.8163,3.5037
CRFTF,1000,5.0700,0.2500
CRFU,5000,5.0700,0.2500
CRGE,100000,-105.0992,110.4192
CRGO,85000,-76.4702,81.7902
CRGP,2600000,5.0700,0.2500
CRGX,35000,1.3543,3.9657
CRGY,450000,4.9175,0.4025
CRH,1600000,4.9119,0.4081
CRHKY,10000,-6.1136,11.4336
CRHY,10000,5.0700,0.2500
CRI,100000,5.0193,0.3007
CRIS,150000,-2.9404,8.2604
CRIT,5000,-0.5668,5.8868
CRJI,1000,5.0700,0.2500
CRK,950000,5.0256,0.2944
CRKN,200000,-35.2052,40.5252
CRKT,10000,5.0700,0.2500
CRL,350000,5.0700,0.2500
CRLBF,2700000,-7.8944,13.2144
CRLRQ,600000,5.0700,0.2500
CRM,8600000,4.9119,0.4081
CRMBQ,200000,4.2847,1.0353
CRMD,750000,3.7005,1.6195
CRMIQ,1000,5.0700,0.2500
CRMK,7000,5.0700,0.2500
CRMT,100000,4.9200,0.4000
CRMZ,70000,-23.8393,29.1593
CRNC,350000,4.9119,0.4081
CRNCY,900,-1.4453,6.7653
CRNT,1500000,4.9119,0.4081
CRNX,300000,5.0005,0.3195
CRON,3700000,4.4921,0.8279
CROX,900000,5.0700,0.2500
CRPHY,1000,-5.7185,11.0385
CRPJY,400,5.0700,0.2500
CRPOF,35000,-2.8795,8.1995
CRPT,35000,-5.2449,10.5649
CRPZ,2500000,5.0700,0.2500
CRQE,2600000,5.0700,0.2500
CRRFY,20000,-1.7009,7.0209
CRRVF,5000,5.0700,0.2500
CRS,850000,4.9119,0.4081
CRSB,2000,-1.7558,7.0758
CRSP,700000,4.8134,0.5066
CRSR,750000,4.9212,0.3988
CRT,100000,-30.6352,35.9552
CRTC,1000,-67.6822,73.0022
CRTG,350000,5.0700,0.2500
CRTIF,25000,NA,NA
CRTL,100000,4.0898,1.2302
CRTO,500000,4.2494,1.0706
CRUCF,200000,5.0700,0.2500
CRUS,500000,4.9119,0.4081
CRUZ,45000,-0.2555,5.5755
CRVH,10000,5.0700,0.2500
CRVL,80000,5.0700,0.2500
CRVO,30000,-2.7218,8.0418
CRVS,1100000,3.7987,1.5213
CRVW,150000,1.8692,3.4508
CRWD,2800000,5.0700,0.2500
CRWS,80000,4.1595,1.1605
CRXM,950000,5.0700,0.2500
CRXPF,100000,5.0700,0.2500
CRYBF,150000,-4.1492,9.4692
CRYM,6100000,-3.0419,8.3619
CRYO,25000,5.0700,0.2500
CRZBY,90000,-3.8841,9.2041
CRZY,100,5.0700,0.2500
CSA,20000,5.0700,0.2500
CSAN,600000,2.1322,3.1878
CSAXQ,100000,5.0700,0.2500
CSB,70000,-10.5706,15.8906
CSBB,300,5.0700,0.2500
CSBF,14,5.0700,0.2500
CSBI,2000,5.0700,0.2500
CSBR,500000,4.8933,0.4267
CSCCF,30000,4.8818,0.4382
CSCO,10000000,5.0700,0.2500
CSD,15000,-0.5765,5.8965
CSDT,10000,5.0700,0.2500
CSEC,45000,-59.7965,65.1165
CSEF,150000,5.0700,0.2500
CSF,10000,-0.8472,6.1672
CSGH,3000000,5.0700,0.2500
CSGI,7000,5.0700,0.2500
CSGP,4500000,5.0508,0.2692
CSGS,350000,4.9054,0.4146
CSHD,250000,5.0700,0.2500
CSHEF,10000,5.0700,0.2500
CSHI,75000,-4.6324,9.9524
CSHX,3000,-8.1434,13.4634
CSHZ,900000,5.0700,0.2500
CSIQ,100000,4.4122,0.9078
CSKH,6300000,5.0700,0.2500
CSKI,100000,-6.9520,12.2720
CSKL,7000,5.0700,0.2500
CSL,350000,4.9119,0.4081
CSLI,2400000,5.0700,0.2500
CSLLY,250000,-23.1291,28.4491
CSLM,2000,3.7806,1.5394
CSLR,100000,-18.7335,24.0535
CSM,25000,2.4297,2.8903
CSMD,300,NA,NA
CSNG,150000,5.0700,0.2500
CSNVY,400,5.0700,0.2500
CSNY,4000,5.0700,0.2500
CSOL,100000,5.0700,0.2500
CSPCY,5000,-2.4709,7.7909
CSPI,25000,3.7536,1.5664
CSPS,20000,5.0700,0.2500
CSQ,150000,-5.1773,10.4973
CSR,85000,4.8182,0.5018
CSRH,2700000,5.0700,0.2500
CSRNF,8000,5.0700,0.2500
CSRVF,95000,5.0700,0.2500
CSRZ,100000,5.0700,0.2500
CSSE,600000,-9.9051,15.2251
CSSEN,15000,-60.3210,65.6410
CSSEP,200000,-5.7185,11.0385
CSSI,700000,4.1825,1.1375
CSSV,100000,5.0700,0.2500
CSTAF,80000,3.4034,1.9166
CSTE,500000,2.5788,2.7412
CSTF,10000000,-12.1351,17.4551
CSTJ,50000,5.0700,0.2500
CSTL,500000,4.4773,0.8427
CSTM,2100000,5.0162,0.3038
CSTR,100000,4.1415,1.1785
CSTU,800,5.0700,0.2500
CSTUF,2000,3.8560,1.4640
CSUAY,10000,-4.5007,9.8207
CSUI,150000,5.0700,0.2500
CSV,450000,4.9095,0.4105
CSWC,500000,4.8377,0.4823
CSWCZ,30000,3.2474,2.0726
CSWG,100000,5.0700,0.2500
CSWI,200000,4.9119,0.4081
CSX,10000000,5.0700,0.2500
CSXXY,700,5.0700,0.2500
CSYS,55000,5.0700,0.2500
CSYT,900000,NA,NA
